profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,final_difficulty,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
improving,static,1,True,19.0,190,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2
improving,static,2,True,58.42,584,0.0,12,1,5,132.24,0.68,0.3,0.44,124.83,0.56,0.61,0.21
improving,static,3,True,56.33,563,0.0,12,1,5,134.48,0.67,0.32,0.42,129.66,0.58,0.62,0.21
improving,static,4,True,41.17,411,0.0,12,1,5,136.72,0.65,0.34,0.41,134.48,0.59,0.63,0.22
improving,static,5,True,59.17,591,0.0,12,1,5,138.97,0.63,0.36,0.4,139.31,0.61,0.63,0.23
improving,static,6,True,57.58,575,0.0,12,1,5,141.21,0.61,0.38,0.38,144.14,0.62,0.64,0.23
improving,static,7,True,59.58,595,0.0,12,1,5,143.45,0.6,0.4,0.37,148.97,0.63,0.65,0.24
improving,static,8,True,42.25,422,0.0,12,1,5,145.69,0.58,0.42,0.36,153.79,0.65,0.66,0.25
improving,static,9,True,38.83,388,0.0,12,1,5,147.93,0.56,0.44,0.34,158.62,0.66,0.67,0.26
improving,static,10,False,60.0,600,6.5,11,0,5,150.17,0.54,0.46,0.33,163.45,0.67,0.68,0.26
improving,static,11,True,47.5,475,0.0,12,1,5,152.41,0.53,0.48,0.32,168.28,0.69,0.69,0.27
improving,static,12,True,25.92,259,0.0,12,1,5,154.66,0.51,0.5,0.3,173.1,0.7,0.69,0.28
improving,static,13,True,41.67,416,0.0,12,1,5,156.9,0.49,0.52,0.29,177.93,0.72,0.7,0.28
improving,static,14,True,43.5,435,0.0,12,1,5,159.14,0.48,0.54,0.28,182.76,0.73,0.71,0.29
improving,static,15,True,59.25,592,0.0,12,1,5,161.38,0.46,0.56,0.26,187.59,0.74,0.72,0.3
improving,static,16,False,60.0,600,6.5,11,0,5,163.62,0.44,0.57,0.25,192.41,0.76,0.73,0.3
improving,static,17,True,30.0,299,0.0,12,1,5,165.86,0.42,0.59,0.23,197.24,0.77,0.74,0.31
improving,static,18,False,60.0,600,74.5,3,0,5,168.1,0.41,0.61,0.22,202.07,0.78,0.75,0.32
improving,static,19,False,60.0,600,15.0,10,0,5,170.34,0.39,0.63,0.21,206.9,0.8,0.76,0.32
improving,static,20,True,52.67,526,0.0,12,1,5,172.59,0.37,0.65,0.19,211.72,0.81,0.76,0.33
improving,static,21,False,60.0,600,15.0,10,0,5,174.83,0.36,0.67,0.18,216.55,0.83,0.77,0.34
improving,static,22,False,60.0,600,32.0,8,0,5,177.07,0.34,0.69,0.17,221.38,0.84,0.78,0.34
improving,static,23,False,60.0,600,15.0,10,0,5,179.31,0.32,0.71,0.15,226.21,0.85,0.79,0.35
improving,static,24,True,53.75,537,0.0,12,1,5,181.55,0.3,0.73,0.14,231.03,0.87,0.8,0.36
improving,static,25,False,60.0,600,40.5,7,0,5,183.79,0.29,0.75,0.13,235.86,0.88,0.81,0.37
improving,static,26,False,60.0,600,40.5,7,0,5,186.03,0.27,0.77,0.11,240.69,0.89,0.82,0.37
improving,static,27,False,60.0,600,23.5,9,0,5,188.28,0.25,0.79,0.1,245.52,0.91,0.82,0.38
improving,static,28,False,60.0,600,32.0,8,0,5,190.52,0.23,0.81,0.09,250.34,0.92,0.83,0.39
improving,static,29,False,60.0,600,49.0,6,0,5,192.76,0.22,0.83,0.07,255.17,0.94,0.84,0.39
improving,static,30,False,60.0,600,6.5,11,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4
